Age,Budget,Interet,Duree,Climat,Type_Voyage,Saison,Nationalite,Activite,Destination
31,5196.0,Shopping,7,Désertique,Couple,Automne,Américain,Carnaval,Rio de Janeiro
18,1497.0,Culture,11,Désertique,Amis,Été,Américain,Randonnée,Hanoï
27,7312.0,Culture,4,Désertique,Couple,Printemps,Allemand,Histoire,Kyoto
31,3085.0,Shopping,6,Tempéré,Amis,Printemps,Français,Gastronomie,Lisbonne
29,5510.0,Nature,15,Désertique,Amis,Printemps,Allemand,Gastronomie,Reykjavik
52,4979.0,Ville,12,Désertique,Solo,Printemps,Japonais,Aurores boréales,Dubai
69,6335.0,Ville,14,Chaud,Amis,Hiver,Canadien,Musée,Londres
63,,Cultuer,17,Tempéré,Amis,Printemps,Indien,Ski,Queenstown
53,3870.0,Aventure,19,Tempéré,Couple,Hiver,Allemand,Architecture,Machu Picchu
27,6143.0,Ville,17,Désertique,Famille,Été,Allemand,Opéra,Sydney
68,6233.0,Histoire,6,Désertique,Famille,Printemps,Français,Architecture,Barcelone
28,3676.0,Aventure,18,Chaud,Couple,Été,Brésilien,Tango,Machu Picchu
67,2248.0,Aventure,7,Tempéré,Solo,Été,Américain,Musique,Machu Picchu
53,2199.0,Plage,16,Désertique,Couple,Printemps,Allemand,Musique,Barcelone
29,6439.0,Histoire,12,Désertique,Amis,Été,Français,Histoire,Kyoto
19,1362.0,Nature,3,Tempéré,Famille,Automne,Australien,Romance,Le Cap
66,6831.0,Aventure,13,Tempéré,Couple,Hiver,Indien,Architecture,Machu Picchu
50,3703.0,Cultuer,18,Chaud,Couple,Été,Japonais,Surf,Bali
64,7150.0,Gastronomie,9,Tempéré,Couple,Printemps,Indien,Photographie,Tokyo
69,6055.0,Gastronomie,8,Désertique,Famille,Automne,Français,Aurores boréales,Reykjavik
58,2893.0,Nature,8,Désertique,Couple,Hiver,Allemand,Musée,Paris
39,7341.0,Plage,8,Froid,Amis,Hiver,Australien,Opéra,Bali
68,4969.0,Plage,4,Tempéré,Famille,Été,Chinois,Aurores boréales,Santorin
32,4098.0,Shopping,8,Désertique,Famille,Printemps,Français,Shopping,Dubai
42,2616.0,Shopping,8,Froid,Famille,Printemps,Américain,Photographie,Santorin
47,5930.0,Shopping,12,Désertique,Couple,Automne,Brésilien,Musée,Londres
49,1834.0,Plage,18,Chaud,Amis,Printemps,Britannique,Ski,Rio de Janeiro
69,,Cultuer,3,Désertique,Famille,Été,Japonais,Architecture,Barcelone
44,7729.0,Aventure,6,Tempéré,Famille,Été,Français,Romance,Machu Picchu
48,6691.0,Histoire,5,Chaud,Solo,Été,Américain,Romance,Venise
21,6539.0,Plage,20,Tempéré,Solo,Printemps,Chinois,Ski,Queenstown
52,4487.0,Shopping,13,Désertique,Amis,Automne,Canadien,Carnaval,Rio de Janeiro
30,5806.0,Culture,7,Chaud,Couple,Automne,Chinois,Carnaval,Rome
66,4253.0,Culture,5,Tempéré,Solo,Hiver,Australien,Randonnée,Venise
29,1751.0,Aventure,16,Désertique,Famille,Été,Indien,Randonnée,Machu Picchu
54,3167.0,Plage,4,Tempéré,Amis,Hiver,Australien,Surf,Bali
24,2852.0,Culture,11,Tempéré,Amis,Été,Allemand,Surf,Istanbul
49,6309.0,Cultuer,9,Chaud,Famille,Automne,Américain,Aurores boréales,Reykjavik
59,2914.0,Aventure,10,Froid,Amis,Été,Australien,Romance,Queenstown
43,2512.0,Plage,5,Froid,Famille,Automne,Indien,Opéra,Barcelone
25,5447.0,Aventure,8,Tempéré,Couple,Automne,Allemand,Tango,Machu Picchu
42,4635.0,Plage,6,Chaud,Couple,Été,Français,Gastronomie,Santorin
19,4646.0,Shopping,14,Désertique,Famille,Été,Français,Shopping,Dubai
23,4762.0,Shopping,11,Tempéré,Amis,Automne,Brésilien,Musée,Paris
61,7846.0,Gastronomie,11,Chaud,Solo,Été,Chinois,Tango,Buenos Aires
61,2441.0,Aventure,13,Désertique,Solo,Été,Chinois,Histoire,Machu Picchu
52,5235.0,Plage,9,Désertique,Solo,Printemps,Français,Shopping,Dubai
34,,Cultuer,8,Tempéré,Couple,Printemps,Japonais,Randonnée,
34,,Cultuer,8,Tempéré,Couple,Printemps,Japonais,Randonnée,Machu Picchu
24,1923.0,Aventure,7,Froid,Solo,Automne,Japonais,Carnaval,Queenstown
18,4345.0,Shopping,3,Chaud,Famille,Hiver,Canadien,Surf,Bali
50,2319.0,Plage,11,Chaud,Solo,Printemps,Américain,Randonnée,Barcelone
33,7189.0,Histoire,18,Désertique,Amis,Hiver,Chinois,Shopping,Dubai
25,2670.0,Nature,19,Désertique,Solo,Automne,Britannique,Aurores boréales,Reykjavik
37,5966.0,Aventure,20,Froid,Amis,Été,Allemand,Ski,Queenstown
45,3500.0,Ville,9,Tempéré,Solo,Été,Brésilien,Aurores boréales,Lisbonne
65,2579.0,Aventure,18,Tempéré,Couple,Été,Allemand,Shopping,Machu Picchu
42,6669.0,Culture,20,Tempéré,Solo,Hiver,Canadien,Surf,Kyoto
40,7655.0,Cultuer,4,Froid,Solo,Printemps,Indien,Randonnée,Machu Picchu
18,5385.0,Ville,9,Froid,Famille,Automne,Français,Shopping,New York
67,6220.0,Aventure,15,Tempéré,Solo,Printemps,Indien,Musée,Machu Picchu
68,5450.0,Aventure,9,Froid,Couple,Printemps,Britannique,Randonnée,Queenstown
32,2421.0,Ville,9,Tempéré,Famille,Automne,Français,Photographie,Lisbonne
38,2665.0,Aventure,6,Froid,Famille,Printemps,Britannique,Architecture,Queenstown
68,4382.0,Nature,20,Tempéré,Famille,Été,Brésilien,Photographie,Le Cap
43,4364.0,Aventure,5,Tempéré,Solo,Printemps,Chinois,Architecture,Machu Picchu
38,3394.0,Culture,17,Froid,Famille,Hiver,Canadien,Opéra,Vienne
65,5601.0,Shopping,12,Chaud,Couple,Hiver,Canadien,Carnaval,Rio de Janeiro
28,,Cultuer,5,Tempéré,Solo,Hiver,Allemand,Romance,Venise
58,3724.0,Shopping,3,Froid,Couple,Été,Français,Surf,Londres
51,4652.0,Shopping,5,Chaud,Couple,Hiver,Australien,Architecture,Barcelone
20,6054.0,Aventure,16,Désertique,Couple,Automne,Américain,Carnaval,Queenstown
55,3236.0,Culture,14,Froid,Solo,Hiver,Brésilien,Musée,Paris
44,1738.0,Histoire,7,Tempéré,Solo,Printemps,Japonais,Ski,Mexico
69,6188.0,Gastronomie,15,Désertique,Couple,Automne,Américain,Tango,Buenos Aires
26,2883.0,Gastronomie,14,Désertique,Solo,Été,Français,Randonnée,Machu Picchu
56,2822.0,Ville,20,Froid,Amis,Automne,Allemand,Carnaval,Berlin
18,2367.0,Shopping,9,Désertique,Couple,Été,Français,Romance,Venise
25,6566.0,Cultuer,4,Tempéré,Solo,Hiver,Allemand,Romance,Venise
40,1683.0,Ville,4,Chaud,Solo,Hiver,Japonais,Surf,Bangkok
61,2039.0,Aventure,9,Chaud,Famille,Été,Indien,Photographie,Santorin
45,3637.0,Shopping,15,Chaud,Famille,Été,Canadien,Ski,Santorin
50,2671.0,Gastronomie,6,Chaud,Amis,Printemps,Japonais,Randonnée,Machu Picchu
36,2701.0,Ville,6,Désertique,Couple,Printemps,Brésilien,Shopping,Dubai
26,6930.0,Plage,10,Froid,Solo,Hiver,Japonais,Aurores boréales,Reykjavik
48,3578.0,Plage,14,Chaud,Famille,Printemps,Américain,Gastronomie,Santorin
69,7305.0,Nature,19,Tempéré,Solo,Printemps,Indien,Musée,Le Cap
66,5750.0,Shopping,19,Tempéré,Couple,Printemps,Britannique,Musée,Paris
42,,Cultuer,17,Chaud,Amis,Hiver,Australien,Carnaval,Rio de Janeiro
34,4373.0,Culture,16,Chaud,Solo,Été,Australien,Tango,Buenos Aires
54,2708.0,Aventure,15,Tempéré,Couple,Été,Américain,Histoire,Machu Picchu
29,1477.0,Culture,8,Tempéré,Amis,Hiver,Canadien,Tango,Buenos Aires
51,3170.0,Nature,3,Désertique,Amis,Été,Canadien,Aurores boréales,Reykjavik
43,6223.0,Histoire,13,Chaud,Amis,Printemps,Indien,Carnaval,Rio de Janeiro
26,5098.0,Gastronomie,5,Désertique,Solo,Hiver,Britannique,Opéra,Sydney
38,6107.0,Shopping,7,Chaud,Amis,Hiver,Français,Architecture,Barcelone
37,5947.0,Gastronomie,19,Tempéré,Couple,Automne,Français,Surf,New York
29,3574.0,Nature,7,Chaud,Amis,Hiver,Britannique,Architecture,Barcelone
20,1199.0,Cultuer,19,Tempéré,Couple,Été,Canadien,Carnaval,
20,1199.0,Cultuer,19,Tempéré,Couple,Été,Canadien,Carnaval,Rio de Janeiro
29,5981.0,Shopping,5,Tempéré,Solo,Hiver,Canadien,Randonnée,Le Cap
57,6527.0,Gastronomie,5,Désertique,Couple,Printemps,Britannique,Opéra,Sydney
61,5401.0,Nature,12,Désertique,Solo,Été,Allemand,Romance,Reykjavik
46,3917.0,Nature,7,Désertique,Solo,Hiver,Britannique,Randonnée,Le Cap
64,3940.0,Ville,18,Froid,Solo,Automne,Français,Opéra,Sydney
25,1947.0,Aventure,20,Désertique,Couple,Hiver,Indien,Musée,Machu Picchu
50,1417.0,Gastronomie,20,Tempéré,Couple,Printemps,Indien,Romance,Venise
59,4440.0,Plage,10,Désertique,Solo,Hiver,Australien,Randonnée,Santorin
43,2022.0,Gastronomie,9,Tempéré,Amis,Hiver,Japonais,Tango,Buenos Aires
50,,Cultuer,11,Froid,Amis,Printemps,Japonais,Opéra,Sydney
41,7248.0,Histoire,6,Désertique,Couple,Printemps,Français,Musée,Dubai
44,2722.0,Plage,3,Chaud,Amis,Hiver,Australien,Opéra,Barcelone
67,2955.0,Culture,16,Tempéré,Solo,Hiver,Français,Aurores boréales,Paris
33,3670.0,Shopping,6,Chaud,Solo,Automne,Indien,Musée,Londres
55,6540.0,Aventure,16,Chaud,Solo,Hiver,Américain,Histoire,Rome
52,3107.0,Culture,15,Tempéré,Couple,Hiver,Américain,Architecture,Paris
46,7670.0,Nature,18,Désertique,Solo,Automne,Britannique,Ski,Reykjavik
30,2181.0,Aventure,17,Froid,Couple,Hiver,Britannique,Ski,Queenstown
44,2876.0,Histoire,4,Chaud,Couple,Été,Chinois,Aurores boréales,Reykjavik
49,2722.0,Cultuer,5,Tempéré,Couple,Automne,Brésilien,Photographie,Santorin
42,3870.0,Plage,10,Chaud,Amis,Été,Australien,Ski,Santorin
48,1800.0,Culture,12,Chaud,Couple,Automne,Allemand,Opéra,Hanoï
44,6431.0,Aventure,20,Chaud,Amis,Automne,Français,Photographie,Queenstown
67,1095.0,Histoire,18,Tempéré,Amis,Hiver,Américain,Histoire,Mexico
29,2090.0,Shopping,11,Désertique,Solo,Printemps,Indien,Gastronomie,Lisbonne
51,6518.0,Ville,20,Chaud,Amis,Hiver,Australien,Photographie,Sydney
38,1438.0,Shopping,5,Froid,Solo,Hiver,Australien,Surf,Bali
30,6376.0,Shopping,20,Chaud,Famille,Été,Brésilien,Ski,Queenstown
27,4001.0,Ville,19,Désertique,Amis,Hiver,Australien,Architecture,Dubai
33,,Cultuer,10,Froid,Amis,Été,Canadien,Gastronomie,Tokyo
58,7260.0,Shopping,19,Froid,Famille,Automne,Canadien,Musée,Londres
61,1251.0,Culture,20,Chaud,Famille,Automne,Canadien,Aurores boréales,Marrakech
18,3923.0,Gastronomie,4,Froid,Amis,Printemps,Britannique,Opéra,Sydney
42,4834.0,Aventure,3,Désertique,Amis,Été,Allemand,Randonnée,Machu Picchu
25,5230.0,Ville,16,Tempéré,Amis,Automne,Britannique,Histoire,New York
23,6859.0,Nature,14,Chaud,Couple,Hiver,Britannique,Tango,Reykjavik
32,4178.0,Plage,5,Chaud,Couple,Hiver,Australien,Musique,Santorin
20,2434.0,Histoire,13,Froid,Solo,Hiver,Britannique,Architecture,Barcelone
37,4599.0,Shopping,5,Tempéré,Famille,Été,Chinois,Aurores boréales,Reykjavik
25,7728.0,Cultuer,13,Chaud,Famille,Hiver,Français,Gastronomie,Bangkok
56,3587.0,Plage,17,Chaud,Couple,Hiver,Chinois,Musée,Santorin
26,7200.0,Shopping,4,Froid,Famille,Été,Canadien,Tango,Buenos Aires
66,2552.0,Histoire,19,Désertique,Solo,Été,Britannique,Musée,Paris
40,4635.0,Shopping,11,Chaud,Solo,Été,Japonais,Opéra,Sydney
34,3726.0,Culture,7,Chaud,Couple,Printemps,Américain,Romance,Venise
53,1838.0,Plage,14,Chaud,Couple,Printemps,Américain,Opéra,Rio de Janeiro
29,2989.0,Nature,15,Tempéré,Famille,Automne,Brésilien,Architecture,Le Cap
43,4246.0,Aventure,14,Froid,Solo,Automne,Canadien,Ski,Queenstown
58,6253.0,Ville,4,Chaud,Solo,Hiver,Indien,Tango,Sydney
52,,Cultuer,20,Désertique,Couple,Été,Allemand,Tango,
52,,Cultuer,20,Désertique,Couple,Été,Allemand,Tango,Buenos Aires
68,1509.0,Nature,3,Froid,Solo,Automne,Britannique,Photographie,Reykjavik
32,1609.0,Culture,5,Froid,Couple,Automne,Chinois,Gastronomie,Hanoï
59,3034.0,Shopping,14,Chaud,Famille,Automne,Japonais,Randonnée,Machu Picchu
58,2336.0,Histoire,19,Désertique,Couple,Hiver,Indien,Musique,Vienne
27,7306.0,Nature,8,Froid,Famille,Printemps,Brésilien,Musée,Reykjavik
21,7156.0,Culture,10,Tempéré,Solo,Hiver,Indien,Opéra,Tokyo
67,3437.0,Culture,9,Froid,Amis,Automne,Britannique,Musique,Vienne
67,2791.0,Shopping,9,Tempéré,Couple,Hiver,Chinois,Randonnée,Machu Picchu
40,4552.0,Ville,12,Chaud,Amis,Printemps,Britannique,Musée,Londres
20,7187.0,Cultuer,12,Chaud,Solo,Hiver,Français,Histoire,Rome
57,3224.0,Shopping,18,Froid,Amis,Automne,Français,Musée,Amsterdam
23,2633.0,Histoire,16,Chaud,Amis,Printemps,Brésilien,Architecture,Barcelone
60,3921.0,Histoire,13,Chaud,Solo,Hiver,Américain,Randonnée,Le Cap
49,5276.0,Plage,16,Chaud,Couple,Été,Japonais,Ski,Santorin
67,7899.0,Aventure,12,Chaud,Amis,Hiver,Brésilien,Histoire,Rome
23,7304.0,Nature,14,Désertique,Amis,Été,Indien,Architecture,Reykjavik
44,3308.0,Nature,7,Froid,Amis,Hiver,Japonais,Photographie,Reykjavik
29,2074.0,Plage,13,Désertique,Famille,Printemps,Britannique,Tango,Rio de Janeiro
53,3359.0,Shopping,5,Froid,Couple,Été,Américain,Carnaval,Rio de Janeiro
55,,Cultuer,18,Froid,Solo,Automne,Chinois,Carnaval,Rio de Janeiro
30,7320.0,Gastronomie,18,Chaud,Amis,Printemps,Indien,Randonnée,Machu Picchu
65,6618.0,Nature,11,Froid,Solo,Été,Australien,Opéra,Reykjavik
69,5843.0,Ville,6,Désertique,Famille,Automne,Japonais,Randonnée,Dubai
36,1592.0,Shopping,8,Chaud,Solo,Automne,Brésilien,Architecture,Barcelone
61,2603.0,Ville,17,Chaud,Couple,Hiver,Britannique,Aurores boréales,Bangkok
36,1273.0,Plage,4,Tempéré,Amis,Automne,Britannique,Tango,Buenos Aires
34,1753.0,Ville,10,Tempéré,Famille,Printemps,Britannique,Randonnée,Lisbonne
56,5183.0,Histoire,11,Chaud,Famille,Printemps,Français,Ski,Queenstown
20,2136.0,Gastronomie,18,Froid,Amis,Printemps,Américain,Histoire,Prague
35,7561.0,Cultuer,9,Chaud,Famille,Automne,Chinois,Musique,Vienne
53,3032.0,Ville,3,Froid,Solo,Automne,Américain,Ski,Amsterdam
20,5509.0,Shopping,15,Tempéré,Amis,Été,Indien,Tango,Buenos Aires
69,2462.0,Gastronomie,11,Froid,Solo,Été,Américain,Surf,Bali
21,2761.0,Histoire,4,Désertique,Couple,Été,Français,Randonnée,Machu Picchu
61,3965.0,Aventure,6,Chaud,Couple,Automne,Américain,Tango,Machu Picchu
24,3101.0,Shopping,18,Désertique,Famille,Printemps,Brésilien,Romance,Venise
50,6750.0,Aventure,8,Chaud,Amis,Printemps,Américain,Carnaval,Rio de Janeiro
40,7827.0,Shopping,6,Froid,Couple,Printemps,Chinois,Histoire,Prague
27,5650.0,Shopping,10,Désertique,Solo,Hiver,Indien,Photographie,Santorin
35,,Cultuer,4,Chaud,Couple,Automne,Canadien,Musée,Paris
56,2816.0,Gastronomie,4,Tempéré,Famille,Été,Brésilien,Aurores boréales,Istanbul
18,1492.0,Histoire,13,Chaud,Amis,Printemps,Japonais,Musée,Paris
46,6616.0,Aventure,8,Froid,Solo,Été,Canadien,Musique,Queenstown
52,1818.0,Ville,15,Froid,Famille,Printemps,Français,Romance,Berlin
48,3005.0,Histoire,14,Tempéré,Solo,Automne,Américain,Carnaval,Rio de Janeiro
49,1831.0,Histoire,7,Tempéré,Couple,Automne,Britannique,Photographie,Mexico
69,1047.0,Shopping,15,Désertique,Couple,Automne,Britannique,Musée,Paris
50,7978.0,Plage,9,Désertique,Solo,Été,Canadien,Romance,Bali
60,7964.0,Histoire,13,Froid,Solo,Automne,Indien,Romance,Venise
37,4620.0,Cultuer,13,Tempéré,Amis,Printemps,Américain,Musée,
37,4620.0,Cultuer,13,Tempéré,Amis,Printemps,Américain,Musée,Paris
27,5378.0,Histoire,8,Chaud,Amis,Printemps,Indien,Aurores boréales,Reykjavik
37,4293.0,Histoire,19,Désertique,Famille,Été,Japonais,Musée,Londres
52,4494.0,Culture,18,Tempéré,Solo,Hiver,Chinois,Surf,Venise
55,4471.0,Gastronomie,16,Chaud,Solo,Hiver,Chinois,Carnaval,Rio de Janeiro
45,4289.0,Plage,12,Désertique,Famille,Printemps,Français,Architecture,Barcelone
49,3823.0,Shopping,13,Froid,Solo,Automne,Américain,Aurores boréales,Reykjavik
26,3956.0,Culture,5,Désertique,Famille,Printemps,Britannique,Randonnée,Venise
57,2999.0,Aventure,18,Froid,Famille,Printemps,Canadien,Aurores boréales,Queenstown
48,3868.0,Gastronomie,5,Désertique,Solo,Printemps,Brésilien,Musique,Vienne
44,,Cultuer,7,Tempéré,Couple,Hiver,Japonais,Architecture,Barcelone
69,5723.0,Ville,4,Chaud,Amis,Automne,Japonais,Musée,Sydney
59,3421.0,Ville,6,Désertique,Amis,Printemps,Brésilien,Carnaval,Dubai
38,3897.0,Aventure,3,Tempéré,Solo,Hiver,Allemand,Musique,Machu Picchu
26,7587.0,Shopping,17,Chaud,Amis,Hiver,Britannique,Randonnée,Machu Picchu
26,3087.0,Aventure,18,Désertique,Famille,Été,Indien,Histoire,Machu Picchu
55,1046.0,Gastronomie,3,Chaud,Amis,Hiver,Indien,Ski,Le Caire
52,5289.0,Shopping,18,Froid,Famille,Printemps,Australien,Photographie,Santorin
26,7736.0,Aventure,9,Chaud,Famille,Hiver,Canadien,Aurores boréales,Queenstown
48,6291.0,Histoire,13,Tempéré,Amis,Été,Américain,Shopping,New York
39,5745.0,Cultuer,15,Tempéré,Famille,Hiver,Indien,Carnaval,New York
60,7963.0,Aventure,5,Désertique,Amis,Été,Américain,Histoire,Kyoto
18,1188.0,Histoire,13,Désertique,Solo,Automne,Brésilien,Randonnée,Machu Picchu
45,2085.0,Nature,13,Chaud,Amis,Automne,Japonais,Musée,Paris
34,7204.0,Histoire,5,Désertique,Amis,Été,Canadien,Musique,Dubai
42,4163.0,Gastronomie,14,Tempéré,Couple,Printemps,Américain,Histoire,Istanbul
19,5040.0,Histoire,16,Froid,Amis,Printemps,Brésilien,Aurores boréales,Reykjavik
22,2171.0,Culture,6,Froid,Couple,Hiver,Américain,Histoire,Prague
44,3966.0,Gastronomie,13,Froid,Couple,Automne,Américain,Architecture,Barcelone
49,5729.0,Plage,15,Désertique,Couple,Printemps,Australien,Randonnée,Santorin
23,,Cultuer,8,Froid,Couple,Été,Canadien,Photographie,Santorin
24,3213.0,Shopping,9,Chaud,Couple,Automne,Japonais,Shopping,Marrakech
56,4792.0,Shopping,11,Désertique,Amis,Hiver,Canadien,Ski,Queenstown
38,5974.0,Nature,6,Tempéré,Solo,Été,Français,Gastronomie,Le Cap
33,3942.0,Nature,3,Chaud,Amis,Automne,Allemand,Opéra,Sydney
51,7556.0,Ville,4,Tempéré,Famille,Été,Japonais,Photographie,New York
42,3020.0,Ville,10,Désertique,Amis,Été,Japonais,Shopping,Dubai
63,7924.0,Ville,20,Chaud,Famille,Été,Japonais,Carnaval,Sydney
68,7859.0,Plage,15,Tempéré,Solo,Printemps,Brésilien,Surf,Bali
67,7510.0,Culture,16,Froid,Couple,Printemps,Canadien,Surf,Prague
66,5662.0,Cultuer,5,Chaud,Solo,Été,Chinois,Surf,Bali
46,4400.0,Plage,18,Chaud,Amis,Automne,Allemand,Ski,Santorin
18,2490.0,Histoire,6,Chaud,Famille,Été,Canadien,Surf,Bali
49,2615.0,Aventure,12,Froid,Solo,Hiver,Japonais,Shopping,Queenstown
34,3083.0,Culture,15,Chaud,Solo,Automne,Brésilien,Shopping,Marrakech
39,5597.0,Aventure,16,Désertique,Famille,Printemps,Brésilien,Histoire,Queenstown
40,2412.0,Shopping,15,Froid,Amis,Automne,Britannique,Shopping,Marrakech
27,6979.0,Ville,3,Désertique,Couple,Été,Britannique,Randonnée,Dubai
56,5857.0,Gastronomie,10,Désertique,Amis,Automne,Indien,Histoire,Kyoto
34,1868.0,Plage,16,Froid,Famille,Printemps,Canadien,Ski,Rio de Janeiro
33,,Cultuer,18,Chaud,Solo,Été,Canadien,Ski,
33,,Cultuer,18,Chaud,Solo,Été,Canadien,Ski,Queenstown
56,5002.0,Histoire,13,Désertique,Famille,Été,Britannique,Aurores boréales,Reykjavik
22,6041.0,Nature,13,Chaud,Solo,Automne,Canadien,Tango,Reykjavik
38,4170.0,Ville,11,Désertique,Amis,Printemps,Canadien,Musique,Dubai
64,2798.0,Plage,17,Froid,Amis,Été,Britannique,Tango,Barcelone
32,6977.0,Plage,8,Tempéré,Famille,Hiver,Français,Histoire,Kyoto
19,2683.0,Nature,10,Tempéré,Famille,Printemps,Français,Gastronomie,Le Cap
45,3522.0,Gastronomie,4,Désertique,Famille,Hiver,Indien,Carnaval,Rio de Janeiro
39,4914.0,Histoire,17,Tempéré,Couple,Automne,Britannique,Aurores boréales,Reykjavik
67,4430.0,Nature,5,Froid,Couple,Printemps,Brésilien,Carnaval,Reykjavik
67,6153.0,Cultuer,14,Chaud,Amis,Hiver,Américain,Ski,Queenstown
59,2169.0,Shopping,11,Désertique,Amis,Été,Britannique,Shopping,Dubai
22,3303.0,Culture,7,Désertique,Solo,Printemps,Australien,Shopping,Marrakech
61,1881.0,Aventure,18,Désertique,Solo,Hiver,Allemand,Musique,Machu Picchu
53,3995.0,Plage,10,Froid,Amis,Été,Chinois,Musée,Londres
69,7923.0,Histoire,12,Tempéré,Famille,Automne,Canadien,Tango,Buenos Aires
44,1617.0,Shopping,15,Froid,Solo,Printemps,Français,Randonnée,Machu Picchu
42,2828.0,Gastronomie,14,Désertique,Couple,Hiver,Indien,Randonnée,Machu Picchu
41,4598.0,Gastronomie,9,Désertique,Solo,Hiver,Brésilien,Opéra,Sydney
51,1383.0,Gastronomie,5,Désertique,Solo,Automne,Britannique,Photographie,Santorin
46,,Cultuer,19,Désertique,Famille,Hiver,Indien,Opéra,Sydney
57,2902.0,Ville,10,Désertique,Solo,Printemps,Britannique,Musique,Dubai
41,4815.0,Gastronomie,10,Chaud,Amis,Automne,Canadien,Ski,Queenstown
34,3093.0,Ville,16,Froid,Amis,Hiver,Japonais,Ski,Amsterdam
20,5259.0,Plage,18,Chaud,Amis,Été,Américain,Ski,Santorin
40,4368.0,Histoire,6,Froid,Amis,Été,Chinois,Randonnée,Le Cap
27,6390.0,Gastronomie,17,Chaud,Amis,Automne,Français,Randonnée,Le Cap
64,3491.0,Ville,8,Tempéré,Famille,Printemps,Canadien,Aurores boréales,Lisbonne
60,7511.0,Ville,9,Chaud,Amis,Automne,Brésilien,Shopping,Dubai
38,2884.0,Shopping,14,Froid,Famille,Automne,Allemand,Shopping,Marrakech
63,1091.0,Cultuer,6,Tempéré,Couple,Automne,Indien,Histoire,Mexico
25,4698.0,Ville,11,Chaud,Couple,Automne,Brésilien,Histoire,Sydney
32,1325.0,Culture,4,Froid,Couple,Automne,Français,Histoire,Prague
45,4769.0,Nature,13,Désertique,Solo,Automne,Français,Carnaval,Reykjavik
42,5197.0,Nature,8,Désertique,Amis,Hiver,Allemand,Musique,Reykjavik
18,3161.0,Gastronomie,7,Tempéré,Couple,Été,Chinois,Surf,Machu Picchu
52,5309.0,Ville,19,Désertique,Solo,Hiver,Britannique,Carnaval,Dubai
22,7198.0,Histoire,14,Chaud,Amis,Été,Britannique,Randonnée,Machu Picchu
23,2759.0,Nature,9,Chaud,Couple,Printemps,Américain,Ski,Le Cap
41,5848.0,Ville,11,Désertique,Solo,Automne,Américain,Musique,Dubai
65,,Cultuer,12,Chaud,Solo,Printemps,Brésilien,Romance,Venise
28,5358.0,Shopping,3,Tempéré,Famille,Printemps,Indien,Photographie,Santorin
22,3829.0,Nature,13,Chaud,Famille,Été,Chinois,Musée,Le Cap
64,1403.0,Aventure,4,Tempéré,Couple,Automne,Chinois,Architecture,Machu Picchu
25,1280.0,Histoire,5,Tempéré,Famille,Été,Britannique,Surf,Bali
58,7330.0,Ville,6,Tempéré,Solo,Automne,Indien,Carnaval,New York
30,7722.0,Histoire,17,Chaud,Famille,Été,Canadien,Tango,Buenos Aires
46,5528.0,Histoire,7,Désertique,Solo,Automne,Américain,Musée,Londres
51,5922.0,Histoire,12,Désertique,Couple,Hiver,Canadien,Ski,Queenstown
44,5714.0,Aventure,4,Désertique,Famille,Été,Allemand,Photographie,Queenstown
33,5002.0,Cultuer,3,Désertique,Famille,Été,Britannique,Surf,
33,5002.0,Cultuer,3,Désertique,Famille,Été,Britannique,Surf,Bali
64,5924.0,Nature,15,Froid,Couple,Hiver,Australien,Musique,Reykjavik
53,2578.0,Histoire,15,Tempéré,Solo,Printemps,Français,Tango,Buenos Aires
47,1463.0,Nature,20,Froid,Solo,Printemps,Français,Opéra,Reykjavik
54,4542.0,Nature,12,Tempéré,Solo,Automne,Australien,Photographie,Le Cap
43,4826.0,Aventure,7,Tempéré,Famille,Hiver,Chinois,Opéra,Machu Picchu
44,3112.0,Culture,10,Chaud,Solo,Printemps,Français,Musée,Paris
69,6755.0,Ville,17,Froid,Solo,Été,Allemand,Randonnée,Londres
18,3494.0,Nature,6,Chaud,Couple,Printemps,Brésilien,Photographie,Santorin
35,4717.0,Culture,18,Froid,Amis,Hiver,Australien,Carnaval,Vienne
18,,Cultuer,10,Tempéré,Amis,Automne,Brésilien,Opéra,Sydney
58,6859.0,Aventure,16,Chaud,Famille,Été,Indien,Carnaval,Rio de Janeiro
25,3788.0,Gastronomie,5,Désertique,Famille,Printemps,Canadien,Histoire,Istanbul
58,1805.0,Aventure,14,Froid,Couple,Automne,Japonais,Tango,Queenstown
46,3232.0,Shopping,12,Froid,Solo,Hiver,Français,Histoire,Berlin
59,3614.0,Nature,12,Chaud,Amis,Hiver,Chinois,Randonnée,Le Cap
56,4242.0,Ville,8,Tempéré,Couple,Printemps,Australien,Photographie,New York
23,3856.0,Aventure,6,Désertique,Couple,Hiver,Américain,Histoire,Machu Picchu
37,7731.0,Histoire,10,Froid,Amis,Été,Brésilien,Randonnée,Machu Picchu
51,6943.0,Culture,8,Tempéré,Solo,Automne,Américain,Randonnée,Tokyo
44,5161.0,Cultuer,19,Chaud,Solo,Printemps,Brésilien,Gastronomie,Bangkok
61,4710.0,Nature,9,Tempéré,Famille,Automne,Brésilien,Opéra,Le Cap
63,1445.0,Aventure,9,Froid,Amis,Été,Allemand,Architecture,Queenstown
42,1017.0,Histoire,9,Tempéré,Famille,Printemps,Australien,Opéra,Sydney
68,3893.0,Culture,4,Froid,Couple,Hiver,Indien,Musée,Paris
